data_type,content,confidence,source_ip,dest_ip,timestamp
驾驶证号,LoMHlkaD4IGB,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:25
手机号码,19609816495,0.99,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,rG1aRbZxLtjC,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,Jif2DAoXqBZc,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,aRhLWVNNowjC,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
手机号码,13084160882,0.99,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,TUmZbRjZBT4v,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,SZQHbTT8R3vh,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,QZTAiLnt54ei,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,XIzRq8KreM9X,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,42uRibgJHD7m,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
邮箱地址,1Jv@FzwoQ.ci,0.98,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,xxCkqX3JKcpf,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,dY6RXRwLtjya,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
驾驶证号,9asTlJSHCrXa,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:26
手机号码,17207896732,0.99,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,ahy6fb2sNYMj,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,ctsNTf29gkl9,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,myFH0JLJJDKd,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,xJmRQsLbCJRx,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,xbygOWynUhkx,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,pEhmeegrD1km,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,89gRjB98kXo8,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
手机号码,18179075061,0.99,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,Bhi88ZsbqmQy,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,NDSBkfEfmBpv,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,scIHEChZfICp,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:27
驾驶证号,RSLJZkJZsI1K,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:28
驾驶证号,QnMTZSJ8ZKkX,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:28
驾驶证号,FKggonRuK20J,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:28
驾驶证号,Ei0ycZkSL9UD,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:28
驾驶证号,SFRlo9IiMTMm,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:28
驾驶证号,PsBJf7onlmmp,0.95,61.164.47.202,10.0.1.50,2025-02-26 11:41:28
